text;language;label;cleaned_text;tokens
Documenting solutions and strategies enhances knowledge retention.;english;clean;documenting solutions strategies enhances knowledge retention;['documenting', 'solutions', 'strategies', 'enhances', 'knowledge', 'retention']
التوظيف الداخلي;arabic;clean;التوظيف الداخلي;['التوظيف', 'الداخلي']
Creating a personal development plan guides career growth.;english;clean;creating personal development plan guides career growth;['creating', 'personal', 'development', 'plan', 'guides', 'career', 'growth']
كلام مُستفز;arabic;toxic;كلام مستفز;['كلام', 'مستفز']
Trial-and-error in algorithmic challenges develops computational thinking.;english;clean;trialanderror algorithmic challenges develops computational thinking;['trialanderror', 'algorithmic', 'challenges', 'develops', 'computational', 'thinking']
tafahem;mixed;clean;tafahem;['tafahem']
Assertive;english;clean;assertive;['assertive']
تحليل;arabic;clean;تحليل;['تحليل']
Making polite and professional requests improves compliance.;english;clean;making polite professional requests improves compliance;['making', 'polite', 'professional', 'requests', 'improves', 'compliance']
حل مشكلة;arabic;clean;حل مشكله;['حل', 'مشكله']
كود;arabic;clean;كود;['كود']
إنجاز;arabic;clean;انجاز;['انجاز']
ايه اكتر الوظايف المطلوبة دلوقتي في الصناعات المختلفة؟;arabic;clean;ايه اكتر الوظايف المطلوبه دلوقتي الصناعات المختلفه;['ايه', 'اكتر', 'الوظايف', 'المطلوبه', 'دلوقتي', 'الصناعات', 'المختلفه']
مجال عمل;arabic;clean;مجال عمل;['مجال', 'عمل']
Portal;english;clean;portal;['portal']
وغد;arabic;toxic;وغد;['وغد']
إدارة الموارد المتقدمة;arabic;clean;اداره الموارد المتقدمه;['اداره', 'الموارد', 'المتقدمه']
Television;english;clean;television;['television']
Organizer;english;clean;organizer;['organizer']
Congrats on your new job, wishing you all the best in your professional journey.;english;clean;congrats new job wishing best professional journey;['congrats', 'new', 'job', 'wishing', 'best', 'professional', 'journey']
مفكر تحليلي;arabic;clean;مفكر تحليلي;['مفكر', 'تحليلي']
قسم الدراسات العليا;arabic;clean;قسم الدراسات العليا;['قسم', 'الدراسات', 'العليا']
الإنطباعية;arabic;clean;الانطباعيه;['الانطباعيه']
مغمور;arabic;clean;مغمور;['مغمور']
في الشغل اتعلمت اعرض أفكاري بوضوح، وأؤثر في القرارات، وأبني علاقات قوية مع الزملاء.;arabic;clean;الشغل اتعلمت اعرض افكاري بوضوح واوثر القرارات وابني علاقات قويه الزملاء;['الشغل', 'اتعلمت', 'اعرض', 'افكاري', 'بوضوح', 'واوثر', 'القرارات', 'وابني', 'علاقات', 'قويه', 'الزملاء']
Excellent job on this task, your attention to detail is remarkable.;english;clean;excellent job task attention detail remarkable;['excellent', 'job', 'task', 'attention', 'detail', 'remarkable']
محفز الفريق;arabic;clean;محفز الفريق;['محفز', 'الفريق']
Monitoring team progress identifies areas needing support and intervention.;english;clean;monitoring team progress identifies areas needing support intervention;['monitoring', 'team', 'progress', 'identifies', 'areas', 'needing', 'support', 'intervention']
offer;english;clean;offer;['offer']
Search englishgine;english;clean;search englishgine;['search', 'englishgine']
Achiever;english;clean;achiever;['achiever']
متحمس للنمو المهني;arabic;clean;متحمس للنمو المهني;['متحمس', 'للنمو', 'المهني']
إنت مش ملتزم بأي حاجة.;arabic;toxic;انت مش ملتزم باي حاجه;['انت', 'مش', 'ملتزم', 'باي', 'حاجه']
تهانينا على الترقية، نتمنى لك استمرار النجاح والتميز في عملك.;arabic;clean;تهانينا علي الترقيه نتمني استمرار النجاح والتميز عملك;['تهانينا', 'علي', 'الترقيه', 'نتمني', 'استمرار', 'النجاح', 'والتميز', 'عملك']
تصحيح تطبيقات متعددة الخيوط يقوي التفكير التحليلي.;arabic;clean;تصحيح تطبيقات متعدده الخيوط يقوي التفكير التحليلي;['تصحيح', 'تطبيقات', 'متعدده', 'الخيوط', 'يقوي', 'التفكير', 'التحليلي']
مش قادر أفهم إزاي في حد يتهور كده من غير أي تقدير للآخرين.;arabic;toxic;مش قادر افهم ازاي حد يتهور كده اي تقدير للاخرين;['مش', 'قادر', 'افهم', 'ازاي', 'حد', 'يتهور', 'كده', 'اي', 'تقدير', 'للاخرين']
إفلات;arabic;clean;افلات;['افلات']
object;english;clean;object;['object']
amaneh_motamer;mixed;clean;amanehmotamer;['amanehmotamer']
أمن الشبكات;arabic;clean;امن الشبكات;['امن', 'الشبكات']
الإلغاء;arabic;clean;الالغاء;['الالغاء']
Maintain cooperation between different teams.;english;clean;maintain cooperation different teams;['maintain', 'cooperation', 'different', 'teams']
Wishing you all the best in your new job!;english;clean;wishing best new job;['wishing', 'best', 'new', 'job']
تقييم أداء الموظفين;arabic;clean;تقييم اداء الموظفين;['تقييم', 'اداء', 'الموظفين']
شغل سطحـي;arabic;toxic;شغل سطحـي;['شغل', 'سطحـي']
Maintain your personal organization and daily work routine.;english;clean;maintain personal organization daily work routine;['maintain', 'personal', 'organization', 'daily', 'work', 'routine']
Documenglishts and forms are delivered only after review and approval by the designated departmenglisht.;english;clean;documenglishts forms delivered review approval designated departmenglisht;['documenglishts', 'forms', 'delivered', 'review', 'approval', 'designated', 'departmenglisht']
sabr;mixed;clean;sabr;['sabr']
أتعامل مع المشكلات بشكل استباقي;arabic;clean;اتعامل المشكلات بشكل استباقي;['اتعامل', 'المشكلات', 'بشكل', 'استباقي']
مشمس;arabic;clean;مشمس;['مشمس']
المشروع ده كان ممتع جدًا، اشتغلت على مهام عملية تعلمت منها مهارات جديدة، الفريق تعاون بشكل ممتاز، الأدوات كانت متاحة وسهلة الاستخدام، المدربون قدموا نصائح مهمة، والنتيجة كانت تجربة تعليمية غنية جدًا.;arabic;clean;المشروع ده ممتع جدا اشتغلت علي مهام عمليه تعلمت مهارات جديده الفريق تعاون بشكل ممتاز الادوات كانت متاحه وسهله الاستخدام المدربون قدموا نصايح مهمه والنتيجه كانت تجربه تعليميه غنيه جدا;['المشروع', 'ده', 'ممتع', 'جدا', 'اشتغلت', 'علي', 'مهام', 'عمليه', 'تعلمت', 'مهارات', 'جديده', 'الفريق', 'تعاون', 'بشكل', 'ممتاز', 'الادوات', 'كانت', 'متاحه', 'وسهله', 'الاستخدام', 'المدربون', 'قدموا', 'نصايح', 'مهمه', 'والنتيجه', 'كانت', 'تجربه', 'تعليميه', 'غنيه', 'جدا']
Application Skills;english;clean;application skills;['application', 'skills']
كيف يمكن تطوير مهارات حل المشكلات اليومية؟;arabic;clean;يمكن تطوير مهارات حل المشكلات اليوميه;['يمكن', 'تطوير', 'مهارات', 'حل', 'المشكلات', 'اليوميه']
Reviewing project performance ensures alignment with objectives.;english;clean;reviewing project performance ensures alignment objectives;['reviewing', 'project', 'performance', 'ensures', 'alignment', 'objectives']
Honestly, this project is very useful, I liked that it has all the features I need, the interface is easy to navigate, and I felt that even a beginner can use it and benefit quickly, every part is practical and direct.;english;clean;honestly project useful liked features need interface easy navigate felt even beginner use benefit quickly every part practical direct;['honestly', 'project', 'useful', 'liked', 'features', 'need', 'interface', 'easy', 'navigate', 'felt', 'even', 'beginner', 'use', 'benefit', 'quickly', 'every', 'part', 'practical', 'direct']
Fostering trust-based relationships enhances team cohesion and effectiveness.;english;clean;fostering trustbased relationships enhances team cohesion effectiveness;['fostering', 'trustbased', 'relationships', 'enhances', 'team', 'cohesion', 'effectiveness']
genglisherosity;english;clean;genglisherosity;['genglisherosity']
كيف أكتسب الخبرة العملية؟;arabic;clean;اكتسب الخبره العمليه;['اكتسب', 'الخبره', 'العمليه']
Evaluation;english;clean;evaluation;['evaluation']
تقدم;arabic;clean;تقدم;['تقدم']
Beige;english;clean;beige;['beige']
عايز أستفسر;arabic;clean;عايز استفسر;['عايز', 'استفسر']
headset;english;clean;headset;['headset']
I learned that understanding and patience are the keys to dealing with anyone difficult.;english;clean;learned understanding patience keys dealing anyone difficult;['learned', 'understanding', 'patience', 'keys', 'dealing', 'anyone', 'difficult']
work experienglishce;english;clean;work experienglishce;['work', 'experienglishce']
You underestimate others.;english;toxic;underestimate others;['underestimate', 'others']
Listening carefully before asking improves the quality of questions.;english;clean;listening carefully asking improves quality questions;['listening', 'carefully', 'asking', 'improves', 'quality', 'questions']
الأكثر أمانا;arabic;clean;الاكثر امانا;['الاكثر', 'امانا']
You disrespect colleagues.;english;toxic;disrespect colleagues;['disrespect', 'colleagues']
time managemenglisht;english;clean;time managemenglisht;['time', 'managemenglisht']
job openglishing;english;clean;job openglishing;['job', 'openglishing']
خليك دايمًا متحفز للتعلم ومواكبة كل جديد.;arabic;clean;خليك دايما متحفز للتعلم ومواكبه جديد;['خليك', 'دايما', 'متحفز', 'للتعلم', 'ومواكبه', 'جديد']
manipulator;english;toxic;manipulator;['manipulator']
يحفز الآخرين;arabic;clean;يحفز الاخرين;['يحفز', 'الاخرين']
temporary job;english;clean;temporary job;['temporary', 'job']
خليك ملتزم بمراجعة تقدمك أسبوعيًا وشهريًا.;arabic;clean;خليك ملتزم بمراجعه تقدمك اسبوعيا وشهريا;['خليك', 'ملتزم', 'بمراجعه', 'تقدمك', 'اسبوعيا', 'وشهريا']
Business plan;english;clean;business plan;['business', 'plan']
Demonstrative Talk;english;clean;demonstrative talk;['demonstrative', 'talk']
Learning to prioritize tasks enhances efficiency.;english;clean;learning prioritize tasks enhances efficiency;['learning', 'prioritize', 'tasks', 'enhances', 'efficiency']
حريص;arabic;clean;حريص;['حريص']
شاركت في مشروع تطوير برامج، كنت مسؤولة عن البرمجة، الاختبار، وتصحيح الأخطاء، وده حسّن مهاراتي التقنية.;arabic;clean;شاركت مشروع تطوير برامج كنت مسووله البرمجه الاختبار وتصحيح الاخطاء وده حسن مهاراتي التقنيه;['شاركت', 'مشروع', 'تطوير', 'برامج', 'كنت', 'مسووله', 'البرمجه', 'الاختبار', 'وتصحيح', 'الاخطاء', 'وده', 'حسن', 'مهاراتي', 'التقنيه']
Technology enhances operational efficiency and competitiveness.;english;clean;technology enhances operational efficiency competitiveness;['technology', 'enhances', 'operational', 'efficiency', 'competitiveness']
