text;language;label;cleaned_text;tokens
الكراهية;arabic;toxic;الكراهيه;['الكراهيه']
الكَرْب;arabic;toxic;الكرب;['الكرب']
الكرم;arabic;clean;الكرم;['الكرم']
الكريهون;arabic;toxic;الكريهون;['الكريهون']
الكساد;arabic;toxic;الكساد;['الكساد']
الكسب;arabic;clean;الكسب;['الكسب']
الكشّافات;arabic;clean;الكشافات;['الكشافات']
الكفاءات;arabic;clean;الكفاءات;['الكفاءات']
الكفاءة;arabic;clean;الكفاءه;['الكفاءه']
الكفاح;arabic;clean;الكفاح;['الكفاح']
المشكلات;arabic;clean;المشكلات;['المشكلات']
بعناية;arabic;clean;بعنايه;['بعنايه']
بعهر;arabic;toxic;بعهر;['بعهر']
بغباوة;arabic;toxic;بغباوه;['بغباوه']
جافّ;arabic;toxic;جاف;['جاف']
جانب السلبي;arabic;toxic;جانب السلبي;['جانب', 'السلبي']
جاهز;arabic;clean;جاهز;['جاهز']
جاهل;arabic;toxic;جاهل;['جاهل']
جبان;arabic;toxic;جبان;['جبان']
جدا;arabic;clean;جدا;['جدا']
جدليًّا;arabic;toxic;جدليا;['جدليا']
جديد;arabic;clean;جديد;['جديد']
جدير بالإعجاب;arabic;clean;جدير بالاعجاب;['جدير', 'بالاعجاب']
جدير بالتقدير;arabic;clean;جدير بالتقدير;['جدير', 'بالتقدير']
جدير بالثقة;arabic;clean;جدير بالثقه;['جدير', 'بالثقه']
جدير بالثناء;arabic;clean;جدير بالثناء;['جدير', 'بالثناء']
جذب;arabic;clean;جذب;['جذب']
جميل;arabic;clean;جميل;['جميل']
جيد;arabic;clean;جيد;['جيد']
جيّد;arabic;clean;جيد;['جيد']
حسنًا;arabic;clean;حسنا;['حسنا']
حسود;arabic;toxic;حسود;['حسود']
حيوي;arabic;clean;حيوي;['حيوي']
خائن;arabic;toxic;خاين;['خاين']
خاص;arabic;clean;خاص;['خاص']
خاطئ;arabic;toxic;خاطي;['خاطي']
خجلان;arabic;clean;خجلان;['خجلان']
خجول;arabic;clean;خجول;['خجول']
