text;label;language;tokens
فكره جميله جدًا، شكراً انك شاركتها معنا;clean;ar;['فكره', 'جميله', 'جدًا،', 'شكراً', 'انك', 'شاركتها', 'معنا']
البوست دا مفيد ومكتوب بطريقه واضحه;clean;ar;['البوست', 'دا', 'مفيد', 'ومكتوب', 'بطريقه', 'واضحه']
شكراً علي المعلومه، اول مره اعرفها;clean;ar;['شكراً', 'علي', 'المعلومه،', 'اول', 'مره', 'اعرفها']
محتوي ممتاز استمر;clean;ar;['محتوي', 'ممتاز', 'استمر']
دا مثال رايع ممكن يفيد ناس كتير;clean;ar;['دا', 'مثال', 'رايع', 'ممكن', 'يفيد', 'ناس', 'كتير']
تحليلك منطقي جدًا;clean;ar;['تحليلك', 'منطقي', 'جدًا']
تسلم ايدك علي الشرح المبسط;clean;ar;['تسلم', 'ايدك', 'علي', 'الشرح', 'المبسط']
واضح انك فاهم الموضوع كويس;clean;ar;['واضح', 'انك', 'فاهم', 'الموضوع', 'كويس']
مجهود كبير شكراً ليك;clean;ar;['مجهود', 'كبير', 'شكراً', 'ليك']
رايك محترم ومفيد للنقاش;clean;ar;['رايك', 'محترم', 'ومفيد', 'للنقاش']
شكراً علي مشاركتك;clean;ar;['شكراً', 'علي', 'مشاركتك']
الموضوع دا فعلاً مهم;clean;ar;['الموضوع', 'دا', 'فعلاً', 'مهم']
حلو انك فتحت النقاش دا;clean;ar;['حلو', 'انك', 'فتحت', 'النقاش', 'دا']
طرح جميل ومتوازن;clean;ar;['طرح', 'جميل', 'ومتوازن']
اجابه واضحه ومرتبه;clean;ar;['اجابه', 'واضحه', 'ومرتبه']
دا مثال عملي ممتاز;clean;ar;['دا', 'مثال', 'عملي', 'ممتاز']
انت بتساعد ناس كتير ببوستاتك;clean;ar;['انت', 'بتساعد', 'ناس', 'كتير', 'ببوستاتك']
شكراً علي المبادره اللطيفه;clean;ar;['شكراً', 'علي', 'المبادره', 'اللطيفه']
معلوماتك دقيقه جدًا;clean;ar;['معلوماتك', 'دقيقه', 'جدًا']
شكراً لاهتمامك ومشاركتك;clean;ar;['شكراً', 'لاهتمامك', 'ومشاركتك']
رد محترم وراقي;clean;ar;['رد', 'محترم', 'وراقي']
فعلاً المحتوي دا يستحق القراءه;clean;ar;['فعلاً', 'المحتوي', 'دا', 'يستحق', 'القراءه']
اسلوبك جميل وواضح;clean;ar;['اسلوبك', 'جميل', 'وواضح']
شكراً انك وضحت النقطه دي;clean;ar;['شكراً', 'انك', 'وضحت', 'النقطه', 'دي']
تحليل ممتاز;clean;ar;['تحليل', 'ممتاز']
فعلاً دا افضل تفسير شوفته;clean;ar;['فعلاً', 'دا', 'افضل', 'تفسير', 'شوفته']
طرحك ممتاز في الحوار;clean;ar;['طرحك', 'ممتاز', 'في', 'الحوار']
كلام هادي ومحترم;clean;ar;['كلام', 'هادي', 'ومحترم']
شكراً علي دعمك;clean;ar;['شكراً', 'علي', 'دعمك']
مشاركه قيمه فعلاً;clean;ar;['مشاركه', 'قيمه', 'فعلاً']
رد جميل وموضوعي;clean;ar;['رد', 'جميل', 'وموضوعي']
النقطه اللي قلتها صح;clean;ar;['النقطه', 'اللي', 'قلتها', 'صح']
فعلاً دي تجربه مفيده;clean;ar;['فعلاً', 'دي', 'تجربه', 'مفيده']
شكراً انك بتهتم ان غيرك يفهم;clean;ar;['شكراً', 'انك', 'بتهتم', 'ان', 'غيرك', 'يفهم']
اسلوبك مبسط وشيّق;clean;ar;['اسلوبك', 'مبسط', 'وشيّق']
واضح انك اشتغلت علي البوست دا;clean;ar;['واضح', 'انك', 'اشتغلت', 'علي', 'البوست', 'دا']
تعليق محترم جدًا;clean;ar;['تعليق', 'محترم', 'جدًا']
دا راي موزون ومهم;clean;ar;['دا', 'راي', 'موزون', 'ومهم']
مشاركه راقيه كالعاده;clean;ar;['مشاركه', 'راقيه', 'كالعاده']
الفكره دي تستحق التطبيق;clean;ar;['الفكره', 'دي', 'تستحق', 'التطبيق']
