text;label;language
فكرة جميلة جدًا، شكراً إنك شاركتها معنا.;clean;ar
البوست دا مفيد ومكتوب بطريقة واضحة.;clean;ar
شكراً على المعلومة، أول مرة أعرفها.;clean;ar
محتوى ممتاز… استمر.;clean;ar
دا مثال رائع ممكن يفيد ناس كتير.;clean;ar
تحليلك منطقي جدًا.;clean;ar
تسلم إيدك على الشرح المبسط.;clean;ar
واضح إنك فاهم الموضوع كويس.;clean;ar
مجهود كبير… شكراً ليك.;clean;ar
رأيك محترم ومفيد للنقاش.;clean;ar
شكراً على مشاركتك;clean;ar
الموضوع دا فعلاً مهم;clean;ar
حلو إنك فتحت النقاش دا.;clean;ar
طرح جميل ومتوازن;clean;ar
إجابة واضحة ومرتبة;clean;ar
دا مثال عملي ممتاز.;clean;ar
أنت بتساعد ناس كتير ببوستاتك;clean;ar
شكراً على المبادرة اللطيفة;clean;ar
معلوماتك دقيقة جدًا.;clean;ar
شكراً لاهتمامك ومشاركتك.;clean;ar
رد محترم وراقي.;clean;ar
فعلاً المحتوى دا يستحق القراءة.;clean;ar
أسلوبك جميل وواضح.;clean;ar
شكراً إنك وضحت النقطة دي.;clean;ar
تحليل ممتاز.;clean;ar
فعلاً دا أفضل تفسير شوفته.;clean;ar
طرحك ممتاز في الحوار.;clean;ar
كلام هادئ ومحترم.;clean;ar
شكراً على دعمك ;clean;ar
مشاركة قيمة فعلاً;clean;ar
رد جميل وموضوعي.;clean;ar
النقطة اللي قلتها صح.;clean;ar
فعلاً دي تجربة مفيدة.;clean;ar
شكراً إنك بتهتم إن غيرك يفهم.;clean;ar
أسلوبك مبسط وشيّق;clean;ar
واضح إنك اشتغلت على البوست دا;clean;ar
تعليق محترم جدًا.;clean;ar
دا رأي موزون ومهم;clean;ar
مشاركة راقية كالعادة.;clean;ar
الفكرة دي تستحق التطبيق.;clean;ar
ما شاء الله عليك… مبدع.;clean;ar
ناقشت الموضوع بذكاء.;clean;ar
ردودك لطيفة ومحترمة.;clean;ar
شكراً على تعاونك;clean;ar
محتوى جاد ومفيد فعلًا.;clean;ar
النقاش بوجودك أحلى.;clean;ar
بوست محفز جدًا;clean;ar
كلامك فعلاً واقعي.;clean;ar
شكراً إنك بتساعد الطلاب والخريجين;clean;ar
إجابة ممتازة;clean;ar
معلومات مرتبة بشكل حلو.;clean;ar
أسلوبك هادي وراقي.;clean;ar
مشاركة دسمة بالمعلومات;clean;ar
شكراً إنك أوضحت التفاصيل.;clean;ar
شرحك بسيط ومباشر;clean;ar
ردودك بتفتح مساحة للنقاش;clean;ar
مشاركة تثري المحتوى.;clean;ar
كلام موزون وله معنى.;clean;ar
فعلاً دا أفضل مثال.;clean;ar
الطرح محترم جدًا.;clean;ar
شكراً لوقتك;clean;ar
جملة مختصرة لكن مفيدة;clean;ar
محتوى مثري فعلاً.;clean;ar
شكراً لمجهودك.;clean;ar
التسلسل منطقي جدًا.;clean;ar
تعليقك جميل.;clean;ar
أسلوب محترم كالعادة;clean;ar
نقاش بناء جدًا.;clean;ar
وجهة نظرك مقنعة.;clean;ar
تحليل رايق وواضح.;clean;ar
شكراً لدعمك لزمايلك.;clean;ar
كلامك مشجع.;clean;ar
فكرة ممتازة للتطوير.;clean;ar
شرحك رائع فعلًا.;clean;ar
تعليق جميل وبسيط.;clean;ar
وجودك في النقاش بيضيف كتير.;clean;ar
مشاركة محترمة جدًا.;clean;ar
شكراً إنك شرحتها بالطريقة دي.;clean;ar
رد منظم ومباشر.;clean;ar
طرح قريب للواقع جدًا.;clean;ar
أحببت طريقة عرضك;clean;ar
كلام عملي وواضح.;clean;ar
مشاركة مفيدة جدًا.;clean;ar
نعم، أتفق معك.;clean;ar
توضيحك جميل;clean;ar
شكراً على المعلومة.;clean;ar
نقاش هادي ومفيد.;clean;ar
طرحك راقي جدًا.;clean;ar
محتوى ثري وملموس.;clean;ar
إجابة دقيقة.;clean;ar
شكراً لمشاركتك الإيجابية.;clean;ar
كلام لطيف قوي;clean;ar
فكرة عبقرية.;clean;ar
أسلوب ممتاز.;clean;ar
تعليق مفيد للكل;clean;ar
شكراً لدعمك.;clean;ar
رد منظم وجميل.;clean;ar
شكراً على وقتك ومبادرتك الطيبة;clean;ar
شاركة تضيف قيمة بالفعل.;clean;ar
أنت ما بتفهمش يا عم، بوست زي دا ليه تعملُه شير؟;toxic;ar
الكومنت بتاعك ملوش أي معنى، اتعلم تكتب.;toxic;ar
البوست دا ساذج جدًا ومفيهوش أي قيمة.;toxic;ar
إيه التخلف دا؟ بتكتبوا كدا ليه؟;toxic;ar
واضح إنك مش فاهم حاجة في مجالك.;toxic;ar
دا أسوأ رأي شوفته في الجروب كله.;toxic;ar
إنت بتجادل لمجرد الجدال بس.;toxic;ar
شكلك ماجربتش تذاكر قبل ما ترد.;toxic;ar
استاف إيه بس؟ دا كلام أطفال.;toxic;ar
متعملوش نفسكم فاهمين وأنتم مش كدا.;toxic;ar
ردك مستفز جدًا ومليان غباء.;toxic;ar
يا عم انت امسح البوست أحسن.;toxic;ar
واضح إنك بتتمنظر على الفاضي.;toxic;ar
مستوى كومنتاتك يكسف بجد.;toxic;ar
دا محتوى ضعيف ومش مناسب لصفحة خريجين.;toxic;ar
أنت كل شوية تنزل بوست مالوش لازمة؟;toxic;ar
بوستك فيه ألف غلطة إملائية، عيب عليك.;toxic;ar
انت مش محترم في طريقة كلامك.;toxic;ar
يا ريت تمسك نفسك شوية بدل الأسلوب دا.;toxic;ar
بتتكلموا كتير ومفيش فايدة.;toxic;ar
النص دا كأنه كتبه طفل.;toxic;ar
انت مش بس غلطان… انت مضيع وقتنا كمان.;toxic;ar
إيه الكومنت السخيف دا؟;toxic;ar
بقيتوا جروب فوضى بجد.;toxic;ar
شكلك بتحاول تعمل شو وخلاص.;toxic;ar
ردك مالوش لازمة نهائي.;toxic;ar
دا مش نقاش… دا هزار بايخ.;toxic;ar
أسلوبك مستفز ومش مقبول هنا.;toxic;ar
انت بتتكلم من غير ما تفكر.;toxic;ar
بطل تنشر أي كلام.;toxic;ar
بتعمل دراما زيادة عن اللزوم.;toxic;ar
ردودك بتقلل من قيمة الجروب.;toxic;ar
واضح إن دا مش مجالك… اسكت بس.;toxic;ar
محتواك تعبان جدًا.;toxic;ar
انت بتتناقش كأنك في خناقة.;toxic;ar
أسلوبك هجومي من غير داعي.;toxic;ar
مش كل بوست لازم تعلق عليه يا فالح.;toxic;ar
انت فاكر نفسك مهم؟;toxic;ar
كومنتك متعالي ومحدش سألك.;toxic;ar
اللي بتقوله دا غلط وغبي.;toxic;ar
انت بتتكلم بوقاحة واضحة.;toxic;ar
الطريقة اللي بترد بيها غير محترمة.;toxic;ar
انت بتتخيل إنك فاهم؟ لأ.;toxic;ar
انت مكبر الموضوع وهو تافه.;toxic;ar
انت فاكر نفسك أحسن من الناس؟;toxic;ar
كلامك فارغ وما يستاهلش رد.;toxic;ar
يا ريت تهدى بدل الأسلوب دا.;toxic;ar
انت بتسخّن النقاش من غير سبب.;toxic;ar
الرد دا ملوش أي علاقة بالموضوع.;toxic;ar
بطل تفتي في اللي ما تعرفوش.;toxic;ar
واضح إنك معقد الموضوع على الفاضي.;toxic;ar
يا عم ركّز بدل الكلام الفاضي.;toxic;ar
انت بترد بطريقة شبه إهانة.;toxic;ar
خليك مهذب شوية.;toxic;ar
انت بتعمل مشاكل من الهوا.;toxic;ar
الموضوع بسيط وانت مكبّره.;toxic;ar
ردودك سلبية ومستفزة.;toxic;ar
شكلك جاي تتخانق.;toxic;ar
انت واضح إنك عصبي على الفاضي.;toxic;ar
اسلوبك يضايق أي حد.;toxic;ar
الكومنت بتاعك جارح ومش لائق.;toxic;ar
ليه بتتكلم كدا؟;toxic;ar
انت بتهاجم الكل من غير سبب.;toxic;ar
انت فاكر إنك كدا قوي؟;toxic;ar
ردك فيه تنمّر واضح.;toxic;ar
بلاش استفزاز.;toxic;ar
انت بتتكلم كأنك رئيس الجروب.;toxic;ar
بتهري كتير ومفيش معلومة.;toxic;ar
انت مضيع وقتنا.;toxic;ar
البوست بتاعك كله غلط.;toxic;ar
انت بتسيء للناس بأسلوبك.;toxic;ar
دا محتوى رديء جدًا.;toxic;ar
بطل استظراف.;toxic;ar
انت بتعمّل مشاكل دايمًا.;toxic;ar
كلامك مش محترم.;toxic;ar
انت بترد كأنك في خناقة شوارع.;toxic;ar
إيه الأسلوب دا؟;toxic;ar
خفوا الغباء شوية.;toxic;ar
انت بتتكلم بقلة ذوق.;toxic;ar
البوست دا يضحك من كتر ما هو وحش.;toxic;ar
انت مش جادّ نهائي.;toxic;ar
واضح إنك ناقص خبرة ومعلومات.;toxic;ar
مالك بتتنرفز على الناس؟;toxic;ar
انت بتستفز كل اللي هنا.;toxic;ar
أسلوبك غير مقبول في أي جروب.;toxic;ar
ردك مالوش قيمة.;toxic;ar
انت بتتكلم بسطحية شديدة.;toxic;ar
بلاش تعمل نفسك فاهم كل حاجة;toxic;ar
ردك كله هجوم.;toxic;ar
يا ريت توقف عدوانيتك.;toxic;ar
انت بتكتب كلام جارح.;toxic;ar
ردك غير مسؤول نهائي.;toxic;ar
كومنتك هابط جدًا.;toxic;ar
البوست دا شتيمة للمحتوى فعلاً.;toxic;ar
انت بتقلل من الكل.;toxic;ar
بطل وقاحة.;toxic;ar
ردك همجي بزيادة.;toxic;ar
أسلوبك مش بتاع خريجين بصراحة.;toxic;ar
انت بتهاجم الشخص مش الفكرة.;toxic;ar
بطل نقص عقل.;toxic;ar
يوم جميل بدأت فيه تدريب جديد، دعواتكم;clean;ar
فخور جدًا بفريق المشروع بتاعنا، شغل مشرف;clean;ar
شاركوا البوست دا مع صحابكم يمكن حد يستفيد;clean;ar
لو حد محتاج شرح لأي مادة أنا موجودة أساعد;clean;ar
شكرا لكل الناس اللي وقفت معايا الفترة دي;clean;ar
مشوار طويل بس ممتع… أهم حاجة الاستمرار;clean;ar
استمتع بحياتك، خليك إيجابي;clean;ar
يوم جديد، فرص جديدة;clean;ar
رمضان كريم على الجميع;clean;ar
حابب أشكر الدكاترة على دعمهم المستمر لينا في مشروع التخرج.;clean;ar
مبروك لكل زمايلي اللي اتخرجوا السنة دي. مستقبل رائع مستنيكم!;clean;ar
صباح الخير يا جماعة، أتمنى يوم موفق للجميع.;clean;ar
هل في حد يعرف موعد استلام الشهادات؟;clean;ar
أنا محتاج حد يرشحلي تدريب كويس في مجال البرمجة;clean;ar
فخور جدًا بدفعتنا السنة دي.;clean;ar
شكراً لكل اللي ساعدوني في البحث.;clean;ar
هل في حد عنده خبرة في كتابة الـ CV؟;clean;mixed
شكراً لكل اللي ساعدوني في البحث.;clean;ar
يا ريت اللي محتاج مساعدة في الكورس يكلمني.;clean;ar
مبروك للناس اللي اتقبلت في الشركات الجديدة!;clean;ar
اتضفت النهارده للجروب، سعيد إني معاكم.;clean;ar
هل في حد عنده جدول محاضرات السنة الجاية؟;clean;ar
أنا بدور على جروب للمشاريع لو حد يعرف.;clean;ar
ربنا يوفق كل الدفعات اللي جاية.;clean;ar
هل حد عنده نصائح لبدء تعلم الـ React؟;clean;mixed
محتاج رأيكم في مشروع تخرجي;clean;ar
حد يعرف إمتى هيتفتح التقديم على التدريب السنوي؟;clean;ar
شكراً للستاف على دعمهم المستمر.;clean;ar
يوم المناقشة كان من أحلى أيام حياتي.;clean;ar
ربنا ينجح الجميع ويكتبلكم اللي فيه الخير.;clean;ar
لو حد محتاج ملفات تانية للكورس يبعتلي.;clean;ar
كان يوم شغل ممتع في اللاب النهاردة.;clean;ar
حبيت أشارككم خبر تعييني في أول وظيفة ليا الحمد لله;clean;ar
لو حد محتاج شرح في مادة معينة أنا موجود.;clean;ar
شكراً للدفعة كلها على التعاون في المشروع الجماعي.;clean;ar
تجربة التدريب الصيفي كانت مفيدة جدًا، أنصحكم تجربوا.;clean;ar
يا ريت اللي حضر ورشة النهاردة يشارك الملخص.;clean;ar
الإدارة أعلنت عن مواعيد التقديم للأنشطة الجديدة.;clean;ar
أول يوم تدريب كان جميل ومليان تعلم.;clean;ar
حملت لكم ملفات الماتيريال على الجروب.;clean;ar
محتاج ترشيح لكورس كويس في Machine Learning.;clean;mixed
كنت حابة أشكر المسؤولين على تنظيم الندوة.;clean;ar
إنجاز جديد لدفعتنا! فخورين بيكم.;clean;ar
هل في نسخة PDF من الكتاب ده؟;clean;mixed
